        pooled     -     codec-1  codec-10 codec-11 codec-2  codec-3  codec-4  codec-5  codec-6  codec-7  codec-8  codec-9 
pooled 0.66177  0.38303  0.53636  0.71148  0.55010  0.53506  0.53332  0.62706  0.40238  0.57372  0.63778  0.70541  0.69332 
 A17   0.42789  0.10139  0.28032  0.50985  0.25783  0.27176  0.33901  0.32043  0.11240  0.32681  0.36806  0.49531  0.54892 
 A18   0.86493  0.49223  0.75168  0.93683  0.62250  0.71075  0.70899  0.80370  0.55666  0.69685  0.81213  0.79692  0.78005 
 A19   1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000 
 A20   0.99371  0.99987  0.96186  0.96147  1.00000  0.99746  0.97275  1.00000  1.00000  0.96744  1.00000  1.00000  0.88565 
 A21   0.34580  0.04473  0.18032  0.26411  0.14856  0.19885  0.28990  0.32726  0.05245  0.23900  0.32432  0.34208  0.29002 
 A22   0.35684  0.07622  0.20852  0.31239  0.16633  0.22099  0.25474  0.31280  0.08998  0.25467  0.31374  0.37372  0.35910 
 A23   0.48075  0.12569  0.27570  0.33722  0.22604  0.28101  0.32076  0.41542  0.15066  0.32579  0.42878  0.36683  0.27792 
 A24   0.26831  0.03052  0.16889  0.44977  0.16502  0.16248  0.21878  0.17314  0.05044  0.16811  0.19343  0.43548  0.55239 
 A25   0.71145  0.22235  0.63886  0.97157  0.54530  0.66249  0.67469  0.74898  0.26347  0.49112  0.76208  0.92732  1.00000 
 A26   0.85744  0.42905  0.72359  0.98146  0.75825  0.75414  0.74853  0.85925  0.45898  0.68882  0.85207  0.93458  0.98807 
 A27   0.66729  0.32807  0.49031  0.84565  0.62549  0.48848  0.39773  0.65303  0.36212  0.53939  0.69109  0.80115  0.75565 
 A28   0.62635  0.23470  0.45197  0.79078  0.50317  0.56425  0.49279  0.51318  0.24673  0.50832  0.53694  0.66338  0.75130 
 A29   0.17329  0.00677  0.10455  0.24134  0.07937  0.06694  0.11291  0.11007  0.00713  0.06353  0.14459  0.32240  0.30568 
 A30   1.00000  0.83878  0.96935  1.00000  0.99979  0.93143  0.90737  0.99990  0.89572  0.98919  0.99978  1.00000  1.00000 
 A31   0.54675  0.23679  0.32693  0.53927  0.49882  0.26256  0.25518  0.50948  0.28951  0.46264  0.56267  0.61200  0.45047 
 A32   0.76565  0.42225  0.62938  0.90715  0.69426  0.59081  0.49655  0.82048  0.45444  0.62265  0.82883  0.91511  0.83187 
